,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,fav
178,0.553,0.726,4.0,-6.778,0.0331,0.179,0.883,0.157,0.827,132.989,4.0,fav
179,0.534,0.408,2.0,-10.448,0.031,0.682,0.891,0.133,0.394,153.989,4.0,fav
180,0.575,0.695,4.0,-8.387,0.032,0.658,0.861,0.148,0.512,150.023,4.0,fav
181,0.55,0.836,11.0,-5.485,0.0362,0.00837,0.758,0.0934,0.787,141.988,4.0,fav
182,0.655,0.445,,-12.06,0.0274,0.875,0.634,0.115,0.14,130.014,4.0,fav
183,0.576,0.625,9.0,-7.541,0.028,0.119,0.889,0.14,0.546,135.95,4.0,fav
184,0.353,0.39,10.0,-9.771,0.0293,0.932,0.667,0.09,0.107,94.156,4.0,fav
185,0.557,0.505,7.0,-9.617,0.0296,0.641,0.883,0.103,0.144,116.942,4.0,fav
186,0.575,0.309,,-12.372,0.0272,0.828,0.511,0.107,0.22,83.013,4.0,fav
187,0.622,0.626,2.0,-5.553,0.0365,0.375,0.00091,0.265,0.629,111.957,4.0,fav
188,0.659,0.622,,-6.526,0.0243,0.271,0.805,0.0873,0.766,97.983,4.0,fav
189,0.428,0.873,4.0,-5.101,0.0382,0.00282,0.0411,0.0735,0.598,149.852,4.0,fav
190,0.499,0.859,4.0,-6.465,0.0349,0.0672,0.0777,0.205,0.889,138.564,4.0,fav
191,0.563,0.444,9.0,-12.543,0.0314,0.645,0.712,0.125,0.309,85.999,4.0,fav
192,0.46,0.829,4.0,-6.948,0.0388,0.333,0.0748,0.035,0.404,125.112,4.0,fav
193,0.655,0.935,,-5.526,0.0426,0.343,0.013,0.144,0.815,127.44,4.0,fav
194,0.473,0.457,11.0,-11.373,0.0275,0.713,0.876,0.0819,0.0618,114.333,3.0,fav
195,0.604,0.853,,-4.84,0.0265,0.000744,0.0534,0.0995,0.635,119.996,4.0,fav
196,0.342,0.944,,-3.873,0.0489,0.000348,0.256,0.0848,0.413,158.807,4.0,fav
197,0.538,0.801,5.0,-7.026,0.0298,0.0502,0.174,0.11,0.361,107.558,4.0,fav
198,0.529,0.508,7.0,-8.655,0.0379,0.87,0.0318,0.141,0.379,141.926,3.0,fav
199,0.708,0.706,9.0,-6.45,0.0385,0.276,0.00631,0.115,0.45,119.027,4.0,fav
200,0.556,0.902,11.0,-6.087,0.0333,0.215,0.357,0.109,0.849,152.25,4.0,fav
201,0.518,0.96,5.0,-4.466,0.0504,0.254,0.000233,0.311,0.826,80.43,4.0,fav
202,0.512,0.628,,-7.06,0.032,0.123,0.00566,0.113,0.51,178.069,4.0,fav
203,0.72,0.628,11.0,-8.759,0.0302,0.405,0.0201,0.311,0.524,103.576,4.0,fav
204,0.573,0.828,2.0,-5.317,0.0269,0.00113,0.155,0.138,0.733,122.627,4.0,fav
205,0.514,0.95,4.0,-3.807,0.0298,0.00575,0.00238,0.134,0.665,137.975,4.0,fav
206,0.557,0.75,,-8.516,0.0387,0.166,0.91,0.121,0.372,125.13,4.0,fav
207,0.578,0.951,6.0,-6.105,0.0343,0.0558,0.171,0.142,0.867,137.983,4.0,fav
208,0.503,0.389,3.0,-9.096,0.0304,0.77,0.0271,0.111,0.327,105.823,4.0,fav
209,0.642,0.721,4.0,-9.765,0.0434,0.196,0.474,0.0926,0.438,124.997,4.0,fav
210,0.608,0.642,2.0,-7.978,0.0251,0.17,0.0667,0.166,0.608,87.703,4.0,fav
211,0.557,0.859,2.0,-6.557,0.0582,0.00474,5.79e-05,0.103,0.748,154.718,4.0,fav
212,0.594,0.63,6.0,-7.323,0.0268,0.0431,2.56e-06,0.0974,0.365,117.01,4.0,fav
213,0.61,0.494,5.0,-10.197,0.0272,0.476,0.0214,0.116,0.273,91.006,4.0,fav
214,0.574,0.0659,4.0,-17.918,0.0453,0.902,2.94e-05,0.11,0.23,82.71,4.0,fav
215,0.618,0.783,,-7.381,0.0297,0.181,0.00165,0.273,0.605,107.991,4.0,fav
216,0.705,0.856,9.0,-5.921,0.0423,0.0414,0.00228,0.0666,0.765,117.005,4.0,fav
217,0.525,0.886,3.0,-7.304,0.0519,0.0122,0.032,0.108,0.421,74.987,4.0,fav
218,0.526,0.885,7.0,-7.259,0.0362,0.000287,0.0397,0.0907,0.496,164.144,4.0,fav
219,0.569,0.548,,-10.523,0.0254,0.663,0.0258,0.102,0.203,98.019,4.0,fav
220,0.64,0.728,2.0,-9.679,0.0409,0.136,0.166,0.105,0.881,119.703,4.0,fav
221,0.695,0.227,,-11.035,0.0417,0.000751,0.552,0.0925,0.626,94.536,3.0,fav
222,0.813,0.505,6.0,-10.322,0.0342,0.75,0.182,0.1,0.685,115.981,4.0,fav
223,0.715,0.515,1.0,-8.186,0.0279,0.116,0.000783,0.0737,0.402,99.375,4.0,fav
224,0.556,0.226,7.0,-14.004,0.0372,0.83,0.00835,0.124,0.469,135.942,4.0,fav
225,0.61,0.323,9.0,-10.982,0.0275,0.881,0.00201,0.105,0.111,79.064,4.0,fav
226,0.604,0.39,9.0,-8.47,0.0377,0.0354,0.317,0.11,0.552,120.204,4.0,fav
227,0.35,0.222,2.0,-14.018,0.0313,0.93,0.476,0.214,0.235,80.852,3.0,fav
228,0.434,0.655,10.0,-9.181,0.027,0.0137,0.00232,0.286,0.472,179.175,3.0,fav
229,0.509,0.679,11.0,-10.16,0.0393,0.0067,0.000431,0.083,0.766,165.345,4.0,fav
230,0.478,0.272,4.0,-13.717,0.0429,0.877,0.00368,0.0969,0.352,140.735,4.0,fav
231,0.443,0.462,11.0,-12.479,0.0347,0.0236,0.0837,0.107,0.034,166.844,4.0,fav
232,0.572,0.87,,-8.434,0.0446,0.0127,0.137,0.136,0.469,119.484,4.0,fav
233,0.489,0.706,9.0,-9.445,0.048,0.0171,0.201,0.125,0.495,145.272,3.0,fav
234,0.575,0.854,11.0,-9.746,0.0405,0.000174,0.624,0.0884,0.574,149.314,4.0,fav
235,0.569,0.872,2.0,-7.566,0.0314,0.000254,0.144,0.283,0.661,95.16,4.0,fav
236,0.484,0.277,2.0,-13.421,0.0306,0.871,0.71,0.183,0.0369,116.046,5.0,fav
237,0.642,0.767,9.0,-8.648,0.0327,0.0439,0.00176,0.0874,0.662,113.3,4.0,fav
238,0.557,0.891,7.0,-7.894,0.0324,0.00173,0.202,0.316,0.603,109.978,4.0,fav
239,0.629,0.62,,-6.946,0.0309,0.000158,0.426,0.0626,0.464,119.254,4.0,fav
240,0.536,0.538,10.0,-9.254,0.0367,0.0393,0.00156,0.177,0.347,81.612,4.0,fav
241,0.529,0.66,6.0,-8.494,0.0302,0.0246,0.0318,0.206,0.647,132.246,3.0,fav
242,0.443,0.462,11.0,-12.479,0.0347,0.0236,0.0837,0.107,0.034,166.844,4.0,fav
243,0.572,0.87,,-8.434,0.0446,0.0127,0.137,0.136,0.469,119.484,4.0,fav
